iso_code,Country,total_cases,total_cases_per_million,Average Increasing rate(valid data),ratio of Total_cases to Lasting time,Death rate,Average Temperature-May,Average Temperature-April,Average Temperature-April&May,Population density (people per sq. km of land area),GDP per capita (constant 2010 US$),Current health expenditure(% of GDP),"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Adjusted savings: education expenditure (% of GNI),Urban population (% of total population),People using at least basic sanitation services (% of population),"Physicians (per 1,000 people)",Haq index
FRA,France,143427,2197.323,0.087009484,18.46489916,0.195374651,12.73406593,11.70333333,12.21869963,122.3198826,43670.19342,11.31289229,50.47999954,8.427000046,4.935406534,80.444,98.65001155,3.2565,74.3
GAB,Gabon,1502,674.835,0.088360476,9.780217391,0.007989348,9.1,5.833333333,7.466666667,8.224764233,9042.459867,2.780745924,42.31399918,20.00399971,3.06,89.37,47.41327672,0.6819,39.1
GBR,United Kingdom,248818,3665.233,0.100678661,32.43569027,0.142035544,8.802564103,8.732222222,8.767393162,274.7089819,43343.26756,9.631694108,60.35699844,3.851000071,5.492534361,83.398,99.11029548,2.7863,74.3
GEO,Georgia,707,177.23,0.079549605,2.135301205,0.016973126,9.1,5.833333333,7.466666667,65.27520207,4726.942023,7.601659,58.49200058,14.39799976,1.76,58.632,90.02479097,6.1297,58.4
GHA,Ghana,6096,196.184,0.097296599,2.843246377,0.005085302,9.1,5.833333333,7.466666667,130.8214292,1807.063539,3.262370452,64.86199951,4.330999851,4.244262303,56.06,18.47216562,0.1359,34.8
GIN,Guinea,2863,218.004,0.097649213,3.205941176,0.006287111,28.05384615,27.82666667,27.94025641,50.52221227,896.8280428,4.123086855,58.88999939,4.296000004,2.292610412,36.14,22.71926989,,32.6
GNB,Guinea-Bissau,1038,527.44,0.086191946,9.418571429,0.005780347,28.05384615,27.82666667,27.94025641,66.65394737,622.0798254,7.23586902,70.19000244,2.46600008,1.16,43.36,20.538003,,32.7
GNQ,Equatorial Guinea,890,634.362,0.07920672,9.328852941,0.007865169,31.59230769,32.26956522,31.93093645,46.66573975,10134.6283,3.107094206,57.98099899,6.433000088,1,72.143,66.31279002,0.4017,26.1
GRC,Greece,2840,272.473,0.08849852,3.24372619,0.058098592,18.44038462,15.28333333,16.86185897,83.25621412,23549.17592,8.041390032,42.84400177,17.23800087,3.1,79.058,98.98319078,5.4789,76.5
GTM,Guatemala,2133,119.058,0.094822188,1.750852941,0.0201594,28.05384615,27.82666667,27.94025641,160.9537794,3159.967477,5.813843757,60.81700134,2.459000111,2.752592425,51.054,65.06313508,,40.1
GUM,Guam,154,912.414,0.048641585,14.25646875,0.032467532,28.05384615,27.82666667,27.94025641,306.9777778,31477.26691,,60.98799896,5.31099987,8.3161306,94.78,,,61.5
GUY,Guyana,125,158.92,0.056443575,2.337058824,0.08,28.05384615,27.82666667,27.94025641,3.957348235,3992.226259,4.945509881,49.52399826,11.85200024,2.92,26.606,85.7631015,,39.3
HND,Honduras,2955,298.346,0.093915366,4.323855072,0.049746193,28.05384615,27.82666667,27.94025641,85.68703191,2219.436469,7.858425379,65.06700134,5.386000156,6.33,57.096,81.25126294,0.3089,42.3
HRV,Croatia,2232,543.692,0.092309467,6.47252381,0.043010753,25.13076923,26.2,25.66538462,73.04937455,15895.65603,6.789133698,47.63199997,6.934999943,4.509400184,56.947,96.53844584,,68.8
HTI,Haiti,596,52.269,0.081134474,0.829666667,0.036912752,28.05384615,27.82666667,27.94025641,403.5985486,730.296713,8.035501093,57.92599869,13.78100014,1.461652,55.278,34.70445429,,24.9
HUN,Hungary,3598,372.45,0.098301072,4.775,0.130628127,28.05384615,27.82666667,27.94025641,107.9814868,16636.20259,6.879989803,54.54800034,3.398999929,4.47499402,71.351,97.99087339,3.3447,64.6
IDN,Indonesia,18496,67.621,0.116595314,0.901613333,0.066014273,28.05384615,27.82666667,27.94025641,147.7521901,4284.652535,2.989054471,64.33300018,4.686999798,3.266723296,55.325,73.12838737,0.3767,37.2
IND,India,106750,77.355,0.096573656,0.684557522,0.030941452,28.05384615,27.82666667,27.94025641,454.9380726,2100.80078,3.534959629,46.65299988,5.355000019,3.08,34.03,59.54344827,0.7779,30.7
IRL,Ireland,24251,4911.301,0.116816198,60.63334568,0.06436848,34,27.83809524,30.91904762,70.65334591,76662.7846,7.184383273,59.00799942,4.927999973,4.193443031,63.17,91.24518131,3.2946,75.6
IRN,Iran,124603,1483.494,0.108086656,15.95154839,0.057133456,28.05384615,27.82666667,27.94025641,50.22242012,,8.659663796,39.58100128,11.38199997,3.622331184,74.898,88.4218671,1.1292,54.6
